,index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price
0,0,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,785,1 stop,26890
1,1,SpiceJet,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,15:35,485,1 stop,7744
2,2,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,740,1 stop,27992
3,3,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,8:50,2345,2 stops,17135
4,4,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1425,1 stop,25735
5,5,Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,655,2 stops,11213
6,6,Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → VTZ → DEL,10:30,435,2 stops,17461
7,7,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,5:50,1825,3 stops,12346
8,8,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,1420,1 stop,22270
9,9,IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,7:55,140,non-stop,8580
10,10,Air India,2019-01-03,Delhi,Cochin,DEL → BLR → COK,9:45,1350,1 stop,22798
11,11,IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,13:20,135,non-stop,7295
12,12,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,5:50,980,2 stops,13366
13,13,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,15:10,155,non-stop,6565
14,14,IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,16:55,90,non-stop,8853
15,15,SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,22:20,140,non-stop,5515
16,16,Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,1265,1 stop,14594
17,17,IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,11:35,145,non-stop,7900
18,18,Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,4:00,1660,1 stop,28322
19,19,Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → DEL,10:30,745,1 stop,11003
20,20,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,885,1 stop,26890
21,21,Air Asia,2019-01-03,Banglore,New Delhi,BLR → DEL,5:50,170,non-stop,10715
22,22,Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,17:00,165,non-stop,25913
23,23,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,405,1 stop,26890
24,24,Air India,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,0:30,1405,1 stop,12599
25,25,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → VGA → DEL,5:50,1770,4 stops,17686
